customer_number,segment,signup_date,postal_code
CUST000163,Value,11-22-20,
CUST000164,Mainstream,2021-08-01,60601
CUST000165,,02/14/2018,
CUST000166,Mainstream,05-23-20,60601
CUST000167,,2018-05-14,N/A
 CUST000168 ,Premium,2019-03-29,60601
CUST000169,Business,04-08-22,60540
CUST000170,Mainstream,01/08/2019,N/A
cust000171,Premium,08-20-22,60540
CUST000172,Business,2022/11/16,60A123
CUST000173,,11-Feb-2020,60540
CUST000174,Value,01/13/2022,N/A
CUST000175,Business,18-Feb-2019,60601
 CUST000176 ,Value,2020/05/18,N/A
CUST000177,Business,2020-01-07,N/A
CUST000178,Value,12-24-17,
CUST000179,Value,15-Oct-2018,60540
CUST000180,Value,06/19/2021,60540
CUST000181,Value,2020/09/12,60601
CUST000182,Mainstream,04/05/2019,N/A
CUST000183,Mainstream,06-13-19,60601
CUST000184,Mainstream,2021/02/22,60540
CUST000185,Premium,10/15/2020,60540
CUST000186,Value,2018-03-15,N/A
CUST000187,Mainstream,28-Nov-2020,60601
CUST000188,Premium,2022/01/26,60540
CUST000189,Premium,02-Dec-2020,N/A
CUST000190,Business,2020/11/28,60540
CUST000191,Premium,2022/11/06,60540
CUST000192,Value,24-Nov-2020,60601
CUST000193,Business,2019/04/13,
CUST000194,Premium,11/20/2017,
CUST000195,,10/31/2018,60A123
CUST000196,Mainstream,2019-05-19,
CUST000197,Premium,2021-04-13,60A123
CUST000198,Premium,,60601
CUST000199,Premium,03/26/2019,60601
CUST000200,Business,05-07-19,60540
CUST000201,Value,10/29/2021,60601
CUST000202,,2017/11/15,N/A
CUST000203,Premium,2021/03/18,
CUST000204,Mainstream,02-27-18,N/A
CUST000205,Premium,2021/05/25,
CUST000206,Value,2022-11-26,N/A
CUST000207,Business,2021/05/17,60540
CUST000208,Mainstream,2018/11/04,N/A
CUST000209,Business,15-Mar-2020,60A123
CUST000210,Value,2018-06-27,60A123
CUST000211,Value,16-Sep-2022,N/A
CUST000212,,08/15/2022,
CUST000213,Mainstream,02-14-19,60540
CUST000214,Value,2022/08/02,60540
CUST000215,Premium,2019/02/08,
CUST000216,Premium,2018/02/28,60601
cust000217,Value,07-05-19,60A123
CUST000218,Premium,2019/12/23,60A123
CUST000219,,2019/03/18,60A123
CUST000220,Premium,2021-12-19,60601
CUST000221,Mainstream,05-15-18,60A123
CUST000222,Premium,01-27-21,60A123
CUST000223,,12/14/2019,N/A
CUST000224,Mainstream,01-Aug-2021,60540
CUST000225,Mainstream,15-Feb-2019,60A123
CUST000226,Mainstream,2018/08/07,60601
CUST000227,Premium,05-Jan-2018,N/A
CUST000228,Premium,13-Oct-2017,
CUST000229,Premium,01-Dec-2018,60540
CUST000230,Premium,04/30/2020,60601
CUST000231,Mainstream,05/20/2020,N/A
CUST000232,Value,2020-10-24,60540
CUST000233,Business,31-Oct-2021,60540
CUST000234,,01-30-22,60601
CUST000235,,10-Oct-2021,60A123
CUST000236,Mainstream,21-Aug-2019,
CUST000237,Value,09/22/2017,60540
CUST000238,Value,08/12/2022,60540
CUST000239,Value,2018/08/03,60601
CUST000240,Value,2019/06/04,N/A
CUST000241,Value,28-Oct-2020,N/A
CUST000242,Value,02-19-18,60601
CUST000243,Value,19-May-2021,60601
CUST000244,Premium,2019-09-04,
CUST000245,Mainstream,2021/08/10,
CUST000246,Business,2018-04-01,60A123
CUST000247,Business,12-03-20,60540
 CUST000248 ,Premium,10-08-21,60A123
CUST000249,Premium,2018/08/30,60A123
CUST000250,,04/24/2019,N/A
CUST000251,Business,09-Aug-2019,N/A
CUST000252,Value,2021/07/03,60601
CUST000253,Business,2019/01/24,60540
CUST000254,Value,19-Aug-2018,N/A
cust000255,Premium,16-Aug-2021,60540
CUST000256,Value,10/16/2018,
CUST000257,Mainstream,09-20-17,60601
CUST000258,,2020/10/10,60601
cust000259,Value,2019-07-14,60601
CUST000260,Value,10/15/2019,N/A
CUST000261,,2019/04/21,60A123
CUST000262,Value,05/29/2019,60540
CUST000263,Mainstream,11/02/2021,
CUST000264,Value,06/25/2021,N/A
 CUST000265 ,Business,2022-09-20,
CUST000266,Premium,02-24-19,60A123
CUST000267,Business,27-Sep-2019,N/A
CUST000268,Value,2020/10/19,N/A
CUST000269,Mainstream,10-28-19,60601
CUST000270,Business,16-Dec-2019,60540
CUST000271,,07-23-21,60601
CUST000272,Mainstream,07-14-19,60601
CUST000273,Premium,2018-01-23,N/A
CUST000274,Business,25-May-2018,N/A
CUST000275,Value,2022-07-09,60601
CUST000276,Mainstream,22-Sep-2019,60601
CUST000277,Premium,02/15/2018,60A123
CUST000278,Premium,2018-08-30,
CUST000279,Business,2021/08/07,
CUST000280,,,60601
CUST000281,Mainstream,01-12-19,60540
CUST000282,Business,2019-04-11,60601
cust000283,,2018-12-01,
CUST000284,Mainstream,2019/10/12,60601
CUST000285,Mainstream,2017/12/07,60A123
CUST000286,Business,2020/09/10,60601
CUST000287,,2020/11/05,60540
CUST000288,Premium,2021-05-22,
CUST000289,Mainstream,07-Oct-2018,60601
CUST000290,Premium,2022/05/14,60601
CUST000291,Business,12/21/2021,N/A
CUST000292,Business,2019-10-17,
CUST000293,Mainstream,11/05/2022,60601
CUST000294,Premium,22-Oct-2018,60A123
CUST000295,Premium,2017/11/15,N/A
CUST000296,Value,2021/07/23,60A123
CUST000297,Value,10/20/2022,60601
CUST000298,Premium,03-Jan-2019,N/A
CUST000299,Business,2018-01-19,60540
CUST000300,,2020/08/06,
CUST000301,Premium,08-16-20,60A123
CUST000302,Premium,2022/08/22,
CUST000303,Business,05/26/2021,60540
CUST000304,Value,03-12-22,60A123
CUST000305,Value,03/19/2018,60A123
CUST000306,Business,12/25/2021,60540
 CUST000307 ,Value,01/04/2021,60601
CUST000308,Mainstream,2021-01-17,60601
CUST000309,Premium,11-05-21,N/A
CUST000310,Mainstream,2020-01-23,60601
CUST000311,Premium,2017/12/25,N/A
CUST000312,Value,2021/03/08,N/A
CUST000313,Premium,03-28-21,
CUST000314,Value,2021-08-12,60601
CUST000315,Premium,07-12-18,N/A
CUST000316,Premium,10/24/2018,60540
CUST000317,Premium,04/23/2018,60601
CUST000318,,2022/04/13,N/A
CUST000319,,2022/06/05,60540
CUST000320,,2022-04-02,60A123
CUST000321,,20-Oct-2021,60601
CUST000322,Value,2019-04-19,
CUST000323,Premium,01-30-22,60601
CUST000324,Value,02-18-19,60A123
cust000325,Premium,,60601
CUST000326,Value,06-Sep-2021,N/A
CUST000327,,20-Dec-2019,60540
CUST000328,Business,2019-08-31,60601
CUST000329,,10-02-19,60601
CUST000330,Premium,01-08-18,N/A
CUST000331,Value,09/25/2017,60540
CUST000332,Premium,22-Sep-2017,
 CUST000333 ,,2019-08-14,60A123
CUST000334,Business,2020/05/25,
CUST000335,Value,05/02/2021,N/A
CUST000336,Value,2018-05-06,60A123
CUST000337,Value,08/18/2019,
CUST000338,Value,10/06/2019,60601
CUST000339,Business,03-Oct-2020,60540
CUST000340,,23-Jan-2020,60540
CUST000341,Business,02/21/2018,60A123
CUST000342,Premium,08-28-20,
CUST000343,Mainstream,05-14-21,N/A
CUST000344,,2020-08-09,N/A
CUST000345,Mainstream,2018-06-05,60540
CUST000346,Mainstream,2019-10-03,
 CUST000347 ,Value,10-11-20,60601
CUST000348,,2020-01-29,60601
CUST000349,Premium,2021/07/28,60540
CUST000350,,09-26-19,60A123
CUST000351,,13-Oct-2022,60601
CUST000352,Business,2017/08/17,
CUST000353,Mainstream,01-03-18,
cust000354,Business,09-08-17,60A123
cust000355,Value,12/02/2020,
CUST000356,Premium,2020-04-23,60A123
CUST000357,Premium,12/24/2020,N/A
CUST000358,,2019-09-06,N/A
CUST000359,Premium,01/08/2020,
CUST000360,Value,17-Mar-2019,60540
CUST000361,Premium,2018-04-20,
CUST000362,,2019/03/17,60601
CUST000363,,08-23-18,60A123
CUST000364,Mainstream,09-28-22,60540
CUST000365,,10-01-21,
CUST000366,Business,19-Nov-2017,
cust000367,Business,01/18/2020,60A123
CUST000368,Value,2022-09-19,N/A
CUST000369,,02-19-18,
CUST000370,Value,15-Sep-2020,60601
CUST000371,,03/25/2021,
CUST000372,Business,28-Nov-2018,60601
CUST000373,Value,08-31-20,N/A
CUST000374,Business,2021/02/18,60A123
CUST000375,Value,20-Nov-2021,
CUST000376,Mainstream,07/30/2020,60540
CUST000377,Value,2018/12/29,60A123
CUST000378,Mainstream,06-Jul-2021,
CUST000379,,09-Apr-2022,
cust000380,Business,2018/06/07,60A123
 CUST000381 ,Value,10-29-18,60A123
CUST000382,Mainstream,11/23/2018,
cust000383,Value,06-20-21,60A123
CUST000384,Premium,20-Mar-2018,N/A
CUST000385,Value,10-29-20,60A123
CUST000386,Value,2022/02/26,60A123
CUST000387,Premium,05-20-21,60540
 CUST000388 ,Premium,2020-07-27,60A123
CUST000389,Value,,60540
CUST000390,Premium,07/20/2018,60601
CUST000391,Premium,03/06/2022,N/A
CUST000392,Value,2019-01-15,60A123
cust000393,Mainstream,09/23/2017,60540
CUST000394,Business,2020/02/16,N/A
CUST000395,,09-Aug-2021,60540
CUST000396,Premium,2020/09/21,N/A
CUST000397,Mainstream,2017-08-08,60540
CUST000398,Value,2019-09-29,60540
CUST000399,Premium,27-Aug-2021,60540
CUST000400,,2019-05-19,60540
CUST000401,Mainstream,07/08/2020,
cust000402,Value,20-Feb-2019,N/A
CUST000403,,07/11/2021,60540
CUST000404,,2018/10/10,60A123
CUST000405,Premium,07-Feb-2021,N/A
CUST000406,Business,02/12/2018,60A123
CUST000407,Mainstream,06/02/2020,60601
 CUST000408 ,,2019-07-10,60540
CUST000409,Premium,30-May-2022,60A123
CUST000410,Premium,2022-09-18,60601
 CUST000411 ,Business,09-27-19,60601
CUST000412,Value,07-18-17,60540
CUST000413,Business,28-Oct-2017,N/A
CUST000414,,2018-10-05,60601
CUST000415,Value,2022/01/29,60601
CUST000416,,05/09/2020,N/A
CUST000417,Business,04/05/2020,60A123
CUST000418,Mainstream,,
CUST000419,Business,11/04/2018,60A123
CUST000420,Premium,06-Feb-2022,N/A
CUST000421,Business,2017-12-08,60540
CUST000422,Premium,04/30/2019,
CUST000423,Premium,2022/02/28,60601
CUST000424,,05-19-18,
CUST000425,Premium,,60A123
CUST000426,Business,17-Jul-2017,60601
CUST000427,,2019/09/16,60601
CUST000428,Mainstream,26-Feb-2018,N/A
CUST000429,,01/21/2019,N/A
CUST000430,Mainstream,2022/07/28,60601
CUST000431,,2018-08-23,60601
CUST000432,Business,2022-10-09,
CUST000433,Value,05-May-2020,60540
CUST000434,Premium,10-30-20,60540
CUST000435,Business,06-Sep-2019,60540
CUST000436,,07-06-22,60601
CUST000437,Mainstream,01/07/2020,60A123
CUST000438,Value,04/11/2020,60A123
CUST000439,Value,09/09/2019,
CUST000440,Business,06/03/2019,60540
CUST000441,Value,07/25/2019,60A123
CUST000442,Value,2018/04/28,N/A
CUST000443,Mainstream,05-10-21,N/A
CUST000444,Value,27-Jan-2020,60601
CUST000445,,2020-03-28,60601
CUST000446,Business,16-Oct-2021,
CUST000447,Value,25-Feb-2019,60A123
CUST000448,Mainstream,01/27/2020,60A123
 CUST000449 ,Value,05-16-18,
CUST000450,,11-02-19,60601
cust000451,,2018/09/17,N/A
CUST000452,Premium,09/19/2021,N/A
CUST000453,Value,18-Oct-2022,60540
CUST000454,Business,2022-01-11,60540
CUST000455,Mainstream,2019-04-22,60A123
CUST000456,Mainstream,06-23-22,60A123
CUST000457,Mainstream,2018-03-26,60601
CUST000458,Value,15-Aug-2022,60540
 CUST000459 ,Business,2020-02-23,
 CUST000460 ,Value,12-23-19,60A123
CUST000461,Business,05/09/2020,60A123
CUST000462,Mainstream,2022/05/06,
CUST000463,Value,11/18/2021,
CUST000464,Premium,2021/09/13,N/A
CUST000465,Premium,2020/10/24,60601
CUST000466,Value,2020-08-22,60601
CUST000467,Mainstream,2020/03/09,60540
CUST000468,,09-28-20,60540
CUST000469,Premium,02-14-22,60540
CUST000470,Mainstream,20-May-2021,N/A
CUST000471,Premium,2019/10/25,60A123
CUST000472,,2018/06/13,60A123
CUST000473,Business,2020-04-05,60540
CUST000474,Business,09-May-2019,60540
CUST000475,Value,2020/04/03,60601
CUST000476,Business,2018-03-17,
CUST000477,Premium,2017-11-15,60A123
CUST000478,Value,2018/07/13,60A123
CUST000479,Premium,11-16-22,60601
CUST000480,Value,,60A123
CUST000481,,08/19/2020,60601
CUST000482,,10-Aug-2020,N/A
CUST000483,Premium,2019-01-05,60A123
cust000484,,2021/04/19,N/A
CUST000485,Mainstream,08/15/2020,60601
CUST000486,Business,21-Nov-2020,60A123
CUST000487,Premium,2021/11/10,
CUST000488,Value,2020/02/07,N/A
CUST000489,Business,27-Jan-2020,N/A
CUST000490,,2021-11-30,60540
CUST000491,,2020/08/25,60601
CUST000492,,2021/10/24,
 CUST000493 ,Value,,60540
CUST000494,Business,,60540
CUST000495,,2019-04-19,N/A
CUST000496,Premium,2018-01-25,
CUST000497,Value,05/12/2018,60601
CUST000498,Business,08-07-20,60601
CUST000499,Value,10-28-17,60A123
CUST000500,,08-29-18,
CUST000501,Business,05-15-22,
CUST000502,Business,31-Aug-2021,
CUST000503,,07/26/2019,60601
 CUST000504 ,,2020/10/16,
CUST000505,Premium,2022/10/06,
CUST000506,Premium,31-Jul-2019,60A123
CUST000507,,10/12/2017,60601
CUST000508,Business,03-24-19,60A123
CUST000509,Value,2020-04-19,
CUST000510,Value,03-12-22,60601
CUST000511,Value,10/26/2017,
CUST000512,,2019/02/03,60540
CUST000513,Premium,01-22-19,
CUST000514,Premium,2022-07-03,60A123
CUST000515,Business,2020-08-21,60540
CUST000516,Business,,
CUST000517,Mainstream,08/13/2018,60A123
CUST000518,Value,2021/08/27,60601
CUST000519,Premium,2019/07/07,
CUST000520,Premium,2018/01/29,60540
CUST000521,,09/10/2022,60601
CUST000522,Mainstream,23-Sep-2020,60601
CUST000523,Mainstream,2021/09/25,N/A
CUST000524,Value,18-May-2021,60A123
CUST000525,Business,2020/04/11,60601
CUST000526,Mainstream,08/03/2020,60540
CUST000527,Premium,04-01-21,N/A
CUST000528,,2019-02-15,60A123
 CUST000529 ,,11/29/2021,60540
CUST000530,Value,02-03-21,60540
CUST000531,Mainstream,10/29/2017,N/A
CUST000532,Premium,05-23-20,60540
 CUST000533 ,Mainstream,09-Feb-2021,60A123
CUST000534,Business,,60601
CUST000535,Business,2020/07/07,60540
CUST000536,Premium,2017-09-23,60540
CUST000537,Value,04/28/2022,60601
CUST000538,Mainstream,10/31/2018,
CUST000539,Mainstream,07-18-21,60A123
 CUST000540 ,Value,17-Apr-2019,60540
CUST000541,Value,07-31-20,60A123
CUST000542,Mainstream,15-Feb-2021,60540
CUST000543,Premium,16-May-2019,
CUST000544,Premium,2020-08-28,60601
CUST000545,Business,11-12-22,60A123
cust000546,,2019/03/29,60601
CUST000547,Mainstream,10/09/2022,N/A
CUST000548,Value,2017/11/08,60A123
CUST000549,Business,15-Jan-2018,
CUST000550,Mainstream,09/02/2018,
CUST000551,Value,27-May-2022,60A123
CUST000552,Value,2019-08-20,60A123
CUST000553,Mainstream,2021/04/10,60540
CUST000554,,23-Oct-2019,60601
cust000555,Business,11-Dec-2018,N/A
CUST000556,Premium,2018/11/21,
 CUST000557 ,Mainstream,2022/10/07,
CUST000558,Business,2021/03/11,60A123
CUST000559,Value,2017/11/14,
CUST000560,Value,,60A123
CUST000561,Business,2019/08/15,60A123
CUST000562,Mainstream,10-Oct-2021,60601
CUST000563,Mainstream,07-10-18,N/A
CUST000564,Value,2018-01-10,60601
CUST000565,Business,2020-07-13,
CUST000566,Premium,07-27-19,60540
CUST000567,Value,08/25/2022,N/A
CUST000568,Business,2017/08/09,60540
 CUST000569 ,Value,2018-09-07,60540
CUST000570,Business,09/14/2020,60601
CUST000571,,2019/07/28,
CUST000572,Value,2020-11-12,60601
CUST000573,Value,08/27/2022,60601
CUST000574,Business,2020/03/17,60540
cust000575,Business,18-Sep-2021,60A123
CUST000576,Premium,28-Oct-2018,
CUST000577,Business,2018/08/28,N/A
 CUST000578 ,Value,2019-07-02,N/A
CUST000579,Premium,12-Jan-2018,
CUST000580,Premium,03/21/2022,60540
CUST000581,Premium,2018/12/06,60540
CUST000582,Premium,2018-12-14,60540
cust000583,Premium,03/30/2018,N/A
CUST000584,Value,11-Aug-2017,60601
CUST000585,Business,,
CUST000586,Mainstream,2017/10/24,60601
CUST000587,Value,2022/04/02,60540
CUST000588,Business,12/18/2021,60A123
CUST000589,,05/20/2021,60540
CUST000590,,05-Sep-2018,60601
CUST000591,Premium,06-Feb-2019,N/A
CUST000592,Premium,10-May-2022,60601
CUST000593,Business,11/09/2019,N/A
CUST000594,Business,2019-08-01,60601
 CUST000595 ,Mainstream,10-03-22,60A123
CUST000596,,12-Feb-2022,N/A
cust000597,,05-30-19,
CUST000598,Mainstream,18-Mar-2022,N/A
CUST000599,,2020-04-22,60540
CUST000600,Premium,11-30-19,N/A
CUST000601,Value,2020-02-19,
CUST000602,Premium,2021/11/08,N/A
CUST000603,Premium,08-14-21,60601
CUST000604,,05/02/2018,60540
CUST000605,Value,2019/10/09,N/A
CUST000606,Business,06-May-2020,N/A
CUST000607,Value,2020/10/15,60A123
CUST000608,Mainstream,2021/02/09,
CUST000609,Business,01-Aug-2018,60601
CUST000610,Value,13-Jan-2020,N/A
CUST000611,Mainstream,2017-11-09,60540
CUST000612,Premium,2020-11-02,60601
CUST000613,Value,05-20-21,N/A
CUST000614,Mainstream,,60601
CUST000615,Value,2022-11-14,60A123
CUST000616,Value,11-12-21,N/A
CUST000617,Value,2022/11/16,60601
CUST000618,Business,10-17-22,60A123
 CUST000619 ,Mainstream,10-05-22,
 CUST000620 ,Business,09-07-19,60A123
CUST000621,Mainstream,10-25-20,60A123
CUST000622,Mainstream,2020-12-27,N/A
CUST000623,Mainstream,19-Oct-2017,60A123
CUST000624,Premium,12-21-21,60601
CUST000625,Premium,2021/05/06,
CUST000626,Business,2020-07-28,N/A
CUST000627,Premium,09/22/2017,
CUST000628,Premium,07/03/2022,60A123
CUST000629,Value,03-23-22,60601
cust000630,Value,2019/05/27,60540
CUST000631,,06/26/2021,N/A
CUST000632,Mainstream,04/16/2018,60601
CUST000633,Value,01/08/2018,60601
CUST000634,Premium,05-14-19,60601
CUST000635,Business,08/10/2022,60A123
CUST000636,Value,09/02/2022,60A123
CUST000637,,09-04-20,60540
CUST000638,Business,12-15-20,N/A
cust000639,Mainstream,12-07-17,60540
CUST000640,Mainstream,2021/04/06,60601
CUST000641,Value,10-May-2022,
CUST000642,Business,05/26/2021,60540
CUST000643,Value,08-29-20,60540
CUST000644,Business,05-26-18,60540
CUST000645,,2018/04/22,60601
CUST000646,Mainstream,09-07-22,60A123
CUST000647,Business,03/19/2022,N/A
CUST000648,Business,14-Dec-2021,N/A
CUST000649,Premium,2018-12-16,60A123
cust000650,Value,04/25/2019,60601
CUST000651,Premium,2021-05-01,60A123
CUST000652,,05-14-22,60540
CUST000653,Value,10/28/2022,60601
CUST000654,Mainstream,11-21-17,60601
CUST000655,Business,2020-11-19,60A123
CUST000656,Business,07-04-18,60540
CUST000657,Value,06/16/2021,
CUST000658,Business,28-Feb-2020,60A123
CUST000659,,2021-08-06,60601
CUST000660,,2020-08-18,60A123
CUST000661,,2021/07/01,N/A
CUST000662,,02-Jun-2022,
CUST000663,Mainstream,2021-10-22,N/A
CUST000664,Business,11-15-19,
CUST000665,Business,2020-10-01,N/A
CUST000666,,04-11-21,
CUST000667,Business,2022/08/26,60A123
CUST000668,,11/10/2018,60601
CUST000669,,08-14-17,60A123
CUST000670,,2018-12-26,60540
CUST000671,,13-Feb-2022,60A123
CUST000672,,12/10/2018,60A123
CUST000673,,2017/10/24,60540
CUST000674,Business,2021-07-08,60540
CUST000675,Value,2018/12/09,60A123
CUST000676,Premium,2018/10/10,60601
CUST000677,Premium,2021-03-27,N/A
CUST000678,,2021/04/17,
CUST000679,Value,2018/07/12,60601
CUST000680,,2017-11-28,60540
CUST000681,Business,09-10-18,N/A
CUST000682,Mainstream,10-Nov-2020,60601
CUST000683,Mainstream,04-Sep-2018,60A123
CUST000684,Business,06-Dec-2021,60A123
CUST000685,Value,2019-08-23,60540
CUST000686,Value,11-Feb-2018,60601
CUST000687,Business,2019/02/26,60540
CUST000688,,2018-05-09,
CUST000689,Business,2020/06/26,60601
CUST000690,,01-24-19,N/A
cust000691,,2020/12/25,60540
CUST000692,Premium,2022/01/09,60A123
CUST000693,Premium,2018-11-23,60A123
CUST000694,Business,06/16/2021,N/A
CUST000695,Value,04/21/2018,
CUST000696,,01/01/2021,
CUST000697,Mainstream,2020-01-23,
CUST000698,,2020/06/02,60540
CUST000699,Business,25-Jan-2020,N/A
CUST000700,Business,08/13/2022,N/A
CUST000701,,05/05/2022,60601
CUST000702,Value,08-30-22,
CUST000703,,2018/09/01,
CUST000704,Value,08-05-22,60A123
CUST000705,Business,11-28-19,
CUST000706,Mainstream,09/15/2020,
CUST000707,Mainstream,20-May-2021,
CUST000708,Value,2018/06/28,60A123
CUST000709,,,
CUST000710,Value,20-Dec-2020,60601
CUST000711,,06/25/2022,
CUST000712,,06/10/2021,N/A
CUST000713,,06-Aug-2017,60601
CUST000714,,06/22/2021,60601
CUST000715,Premium,2021-04-03,60540
CUST000716,Business,2021/01/08,N/A
CUST000717,Business,09-13-17,N/A
CUST000718,Value,02/16/2022,
CUST000719,,2022-04-29,60601
CUST000720,,2019-03-11,
